Index,PMIDs,Exposure,Outcome,Effectsize,Measurement,SD,p,Pln,Trn,Samplesize,t,df,Numberofgroups,Numberofdropoutsandmissingdata,Primaryoutcomevariablespecified,Numberofprimaryoutcomevariables,Numberofsecondaryoutcomevariables,Intentiontotreat,ModifiedITT,Powercalculationincluded,Statisticalmethodssectionincluded,Studytype,Randomized,Randomizedadequately,Singleblinded,Doubleblinded,Blindanalysis,Controlled,Placebocontrolled,Subjectiveoutcome,Sourceofsubjectivity,Adjustmentforconfounding,Subgroupanalysesincluded,Numberofsubgroupanalyses,Numberofsubgroups,Subgroupswithpositiveresults,Preregistration,Demographicstable,Numberofvariablesindemographicstable,Publicationyear,Journal,ISSN,eISSN,Numberofauthors,Numberofreferencescited,Openaccess,Country,Hasimpactfactor,Impactfactor,PercentofIFfromselfcitation,Eigenfactor,MEDLINEindexing,WebofScienceindexing,DOAJindexing,Citewatch,Fundingstatement,Governmentsupport,Companysupport,Nonprofitsupport,COIstatement,COIdeclared,Totalpublicationsfirstauthor,Totalpublicationslastauthor,hindexfirstauthor,hindexlastauthor,Yearssincefirstpublicationfirstauthor,Yearssincefirstpublicationlastauthor,Publicationsperyearfirstauthor,Publicationsperyearlastauthor,Totalcitationsfirstauthor,Totalcitationslastauthor,Totalcoauthorsfirstauthor,Totalcoauthorslastauthor,Atleastoneretractedpaperfirstauthor,Atleastoneretractedpaperlastauthor,Limitationsdiscussed,Numberofcitingarticles,Citationsperyear,NumberofcitingMAs,CitationsfromMAsperyear,Numberofcitingreviews,Citationsfromreviewsperyear,Authorselfcitations,Authorselfcitationrate,Journalselfcitations,Journalselfcitationrate,Numberofuniquecitingjournals,Numberofuniquejournalspercitation,NumberofcitationswithIF,ProportionofcitationswithIF,AverageIFofcitations,NumberofMedlineindexedcitations,ProportionofMedlineindexedcitations,NumberofWebofScienceindexedcitations,ProportionofWebofScienceindexedcitations,NumberofDOAJindexedcitations,ProportionofDOAJindexedcitations,NumberofCitewatchflaggedcitations,ProportionofCitewatchflaggedcitations,Erroridentified,Conclusions,Conclusionpresentsvalidmaineffectcorrectly,Conclusionhaspositivecomponentoneffectiveness,Positivecomponentconflictswithprimaryanalysis,Sourceofpositivecomponent,Furtherresearchrecommended,V108
22,15750360,Individualized homeopathic remedy,Hot flash severity score,1.22,SMD,.3, ,27,26,53,4.44007649092705,51,3,20,y,1,4,y,y,n,y,Clinical trial,y,y,y,y,y,y,y,y,patient,y,y,1,2,0,n,y,12,2005,"Journal of alternative and complementary medicine (New York, N.Y.)",1075-5535,1557-7708,5,63,n,USA,y,2.116,6.206,0.00355,n,y,NA,n,y,y,n,n,n,NA,38,1,14,1,14,0,1.31,1,561,69,74,4,n,n,y,17,.94,2,.11,8,.44,0,0,0,0,16,.94,15,0.88,41.205,12,0.71,15,0.88,8,0.8,3,0.19, ,"Small sample size precludes definitive answers, but results from this preliminary trial suggest that homeopathy may be of value in the treatment of menopausal symptoms and improving quality of life, especially in those women not on tamoxifen. Larger studies should be carried out that also include healthy women who want to avoid hormone replacement therapy.",n,y,n,NA,y, 
23,16036165,Mixture of Arnica montana and Bellis perennis,Hemoglobin levels,.93,SMD,.36, ,12,28,40,2.69539607479124,38,3,5,y,2,0,n,y,y,y,Clinical trial,y,unclear,y,unclear,unclear,y,y,n,NA,n,n,0,0,0,n,y,9,2005,Complementary therapies in medicine,0965-2299,1873-6963,7,6,n,Israel,y,1.821,11.73,0.00392,y,y,n,n,y,n,n,y,y,n,79,151,16,28,17,22,2.39,3.87,1063,2271,208,336,n,n,n,7,.39,2,.11,3,.17,0,0,0,0,6,.86,6,0.86,6.477,5,0.71,6,0.86,2,0.5,2,0.29,Within-group error; also not adjusted for multiple testing,"Treatment with homeopathic Arnica montana and Bellis perennis may reduce postpartum blood loss, as compared with placebo.",n,y,n,NA,y, 
24,20380750,Traumeel S,AUC of pain score,.08,SMD,.23, ,40,39,79,.355499292313561,77,2,1,y,1,16,n,y,y,y,Clinical trial,y,unclear,y,y,n,y,y,y,patient,n,y,1,3,0,y,y,8,2010,BMC clinical pharmacology,1472-6904,1472-6904,12,26,y,Israel,n,NA,NA,NA,n,n,n,n,y,n,y,n,y,y,22,79,8,16,7,22,2.2,2.39,250,1063,48,208,n,n,y,2,.15,1,.08,2,.15,0,0,0,0,2,1,2,1,3.787,2,1,2,1,1,1,0,0,Not adjusted for multiple testing,Traumeel was not superior to placebo in minimizing pain or analgesic consumption over the 14 days of the trial. A transient reduction in the daily maximum post-operative pain score on the day of surgery is of questionable clinical importance.,y,y,y,Non-significant result,y, 
26,2972455,Baryta carbonica 15CH,Blood pressure,.57,SMD,.36, ,15,17,32,1.60905154516566,30,2,2,n,2,0,n,y,n,n,Clinical trial,y,unclear,y,unclear,unclear,y,y,n,NA,n,y,1,1,0,n,y,3,1987,La Clinica terapeutica,0009-9074,1972-6007,8,4,n,Italy,n,NA,NA,NA,y,n,NA,NA,n,NA,NA,NA,n,NA,2,2,2,2,0,0,2,2,9,9,7,7,n,n,n,0,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,NA, ,"Taking the groups as a whole, no statistically significant differences were found between the effects of placebo and active drug on the blood pressure. But the four subjects who had been prospectively considered sensitive and were treated with Baryta carbonica gave strongly positive results.",y,y,y,Subgroup,y, 
28,17227743,Arnica 30c,Pain score following tonsillectomy,.43,SMD,.19, ,58,53,111,2.26286631597272,109,2,79,y,1,21,n,n,y,n,Clinical trial,y,unclear,y,y,n,y,y,y,patient,n,n,0,0,0,n,n,NA,2007,Homeopathy : the journal of the Faculty of Homeopathy,1475-4916,1476-4245,3,20,n,UK,y,0.87,48.944,3.4E-4,y,y,NA,n,y,y,n,n,y,n,5,433,2,9,1,13,1,17.32,38,362,6,54,n,n,y,9,.56,0,0,1,.06,0,0,0,0,9,1,5,0.56,3.82,2,0.22,4,0.44,7,0.88,4,0.44,Not adjusted for multiple testing,"The results of this trial suggest that Arnica montana given after tonsillectomy provides a small, but statistically significant, decrease in pain scores compared to placebo",y,y,n,NA,n, 
29,16322812,Arsenicum album-30,Arsenic contamination,.75,SMD,.28, ,22,33,55,2.72488531868774,53,2,unclear,n,1,45,unclear,unclear,n,y,Clinical trial,y,unclear,unclear,unclear,unclear,y,y,n,NA,n,y,1,2,2,n,y,5,2005,Evidence-based complementary and alternative medicine : eCAM,1741-427X,1741-4288,15,40,n,India,y,1.636,9.763,0.01646,n,y,y,n,y,n,y,n,n,NA,187,111,36,28,27,19,4.35,3.17,2733,2391,181,217,y,n,n,9,.5,0,0,1,.06,4,0.44,5,0.56,5,.56,9,1,2.328,1,0.11,8,0.89,9,1,2,0.25,Not adjusted for multiple testing,The results are highly encouraging and suggest that the drug can alleviate As poisoning in humans.,n,y,n,NA,y, 
30,12801490,Argentum nitricum 12X,Test anxiety,-1.12,SMD,.33, ,23,21,44,-3.71078036389799,42,3,unclear,y,1,1,n,unclear,y,y,Clinical trial,y,y,y,y,unclear,y,y,y,patient,n,y,1,2,0,n,n,NA,2003,Complementary therapies in medicine,0965-2299,1873-6963,4,17,n,Australia,y,1.821,11.73,0.00392,y,y,n,n,n,NA,NA,NA,n,NA,2,1,1,1,0,0,2,1,12,12,5,3,n,n,n,0,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,NA,Math error,This study demonstrated that homeopathic A. nitricum 12X does not reduce test anxiety in a general population of university students.,n,n,NA,Math error,y, 
31,22852580,BRN-01,AUC of hot flash score,.41,SMD,.2, ,51,50,101,2.06012351835784,99,2,7,y,2,4,n,y,y,y,Clinical trial,y,y,y,y,y,y,y,y,patient,n,n,0,0,0,y,y,9,2012,Drugs in R&D,1174-5886,1179-6901,4,36,y,France,y,2.234,1.888,0.00148,y,y,y,n,y,n,y,n,n,NA,100,419,12,30,39,27,2.5,11.32,990,3632,716,771,n,n,n,7,.64,1,.09,2,.18,0,0,0,0,6,.86,6,0.86,3.596,5,0.71,6,0.86,4,1,2,0.29, ,"BRN-01 seemed to have a significant effect on the HFS, compared with placebo. According to the results of this clinical trial, BRN-01 may be considered a new therapeutic option with a safe profile for hot flashes in menopausal women who do not want or are not able to take hormone replacement therapy or other recognized treatments for this indication.",y,y,n,NA,y, 
32,11505416,Traumeel S,Stomatitis symptoms,1.02,SMD,.38, ,15,15,30,2.79338504327635,28,2,2,y,2,4,n,y,n,y,Clinical trial,y,unclear,y,y,unclear,y,y,y,patient,n,y,1,1,1,n,y,8,2001,Cancer,0008-543X,1097-0142,7,17,n,Israel,y,5.607,2.859,0.06561,y,y,NA,n,y,n,n,y,n,NA,79,163,16,31,13,26,2.39,4.18,1063,4131,208,363,n,n,n,35,1.59,1,.05,14,.64,0,0,0,0,23,.66,29,0.83,6.298,22,0.63,25,0.71,14,0.82,4,0.12, ,This study indicates that TRAUMEEL S may reduce significantly the severity and duration of chemotherapy-induced stomatitis in children undergoing bone marrow transplantation.,y,y,n,NA,y, 
33,15750359,Individualized homeopathic remedy,Symptoms of estrogen withdrawal in breast cancer survivors,.34,SMD,.27, ,25,28,53,1.23563443332977,51,2,8,y,2,18,y,n,y,y,Clinical trial,y,y,y,y,unclear,y,y,y,patient,y,y,2,2,0,n,y,16,2005,"Journal of alternative and complementary medicine (New York, N.Y.)",1075-5535,1557-7708,4,22,n,UK,y,2.116,6.206,0.00355,n,y,NA,n,y,n,n,y,y,n,35,68,16,19,3,22,1.84,2.27,678,1245,66,143,n,n,y,11,.61,1,.06,3,.17,1,0.09,0,0,10,.91,11,1,54.521,10,0.91,11,1,5,1,0,0, ,"Improvements were seen for symptom scores over the study period. However, presuming these improvements were caused by the individualized homeopathic approach, the study failed to show clearly that the specific effect of the remedy added further to the nonspecific effects of the consultation.",y,y,y,Within-group comparison,y, 
35,18243940,Individualized homeopathic remedy,Muscle tone of children with cerebral palsy,-.2,SMD,.48, ,9,7,16,-.396862696659689,14,2,8,n,1,5,n,n,n,n,Clinical trial,y,unclear,y,unclear,unclear,y,y,y,provider,n,n,0,0,0,n,n,NA,2008,Complementary therapies in clinical practice,1744-3881,1873-6947,5,10,n,Iran,y,1.613,8.87,0.00211,y,y,NA,n,y,y,n,n,n,NA,74,19,11,5,2,1,4.93,1.27,314,88,148,58,n,n,n,0,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,NA,Not adjusted for multiple testing,Adding homeopathy to rehabilitation had no significant effect on spasm of CP children as measured by Ashworth test.,y,n,NA,NA,y, 
36,9251877,Individualized homeopathic remedy,Migraine,-.65,SMD,.26, ,30,30,60,-2.51743917503482,58,2,3,y,1,4,n,n,y,n,Clinical trial,y,unclear,unclear,unclear,unclear,y,y,y,patient,y,n,0,0,0,n,y,4,1997,Cephalalgia : an international journal of headache,0333-1024,1468-2982,3,18,n,UK,y,4.315,11.36,0.01199,y,y,NA,n,y,n,n,y,n,NA,22,63,8,25,6,17,.92,3.15,385,1765,41,487,n,n,y,10,.38,0,0,8,.31,0,0,0,0,10,1,8,0.8,5.371,7,0.7,7,0.7,0,0,1,0.1, ,"Overall, there was no significant benefit over placebo of homoeopathic treatment. The course of change differed between groups, and suggested that improvement reversed in the last month of treatment on placebo. On this evidence we cannot recommend homoeopathy for migraine prophylaxis, but cannot conclude that it is without effect.",y,y,n,Alternative between-group comparison,n, 
37,14587682,Individualized homeopathic remedy,Pruritis of haemodialysis patients,.37,SMD,.43, ,9,11,20,.823198032067619,18,2,8,n,4,0,n,y,n,y,Clinical trial,y,unclear,y,y,y,y,y,y,patient,n,y,1,3,unclear,n,y,16,2003,Homeopathy : the journal of the Faculty of Homeopathy,1475-4916,1476-4245,5,24,n,Brazil,y,0.87,48.944,3.4E-4,y,y,NA,n,n,NA,NA,NA,n,NA,1,107,1,20,0,14,1,3.34,19,1853,4,992,n,n,y,3,.15,1,.05,1,.05,0,0,0,0,3,1,3,1,11.402,2,0.67,3,1,1,1,0,0,Within-group error; also not adjusted for multiple testing,Homeopathic treatment may represent a worthwhile alternative to relieve pruritus in patients undergoing haemodialysis.,n,y,y,Within-group comparison,n, 
38,10671699,Individualized homeopathic remedy,Mild traumatic brain injury,.56,SMD,.26, ,28,33,61,2.17951114988178,59,2,11,y,3,11,y,n,y,y,Clinical trial,y,y,y,y,y,y,y,y,patient,y,y,1,3,2,n,y,16,1999,The Journal of head trauma rehabilitation,0885-9701,1550-509X,5,55,n,USA,y,2.542,9.666,0.00607,y,y,NA,n,y,y,n,y,n,NA,6,1,3,1,3,0,1.2,1,116,48,13,4,n,n,n,8,.33,2,.08,1,.04,0,0,0,0,8,1,6,0.75,4.961,3,0.38,4,0.5,2,0.5,2,0.33, ,"This study suggests that homeopathy may have a role in treating persistent MTBI. Our findings require large-scale, independent replication.",y,y,n,NA,y, 
39,10703903,Individualized homeopathic remedy,Migraine attack frequency,-.27,SMD,.24, ,33,35,68,-1.11275691019039,66,2,5,n,1,5,n,n,y,y,Clinical trial,y,unclear,y,y,unclear,y,y,y,patient,y,n,0,0,0,n,y,5,2000,The British homoeopathic journal,0007-0785,NA,5,12,n,Norway,n,NA,NA,NA,n,n,NA,n,y,y,n,n,n,NA,3,1,2,1,8,0,.33,1,87,37,8,4,n,n,y,5,.22,0,0,4,.17,0,0,0,0,4,.8,4,0.8,3.804,4,0.8,4,0.8,0, ,0,0, ,"The results from the study are conflicting. Assessing the diaries, the group appear very similar whilst the final evaluation of the neurologist made together with the patients shows a significant effect, at least on attack frequency.",y,y,y,Alternative between-group comparison,y, 
40,17015192,Individualized homeopathic remedy,Dermatitis,.04,SMD,.38, ,12,15,27,.103279555898864,25,4,11,y,1,6,n,y,n,y,Clinical trial,y,y,y,y,unclear,y,y,y,patient,n,n,0,0,0,n,y,10,2006,Homeopathy : the journal of the Faculty of Homeopathy,1475-4916,1476-4245,4,11,n,UK,y,0.87,48.944,3.4E-4,y,y,NA,n,n,NA,NA,NA,n,NA,81,643,10,93,19,13,2.38,22.17,477,26302,98,1498,n,n,y,8,.47,2,.12,2,.12,0,0,0,0,6,.75,8,1,4.664,7,0.88,8,1,5,0.83,0,0, ,"A definitive trial of this design is unlikely to discriminate the relative contributions of the non-specific and specific effects to the outcome of homeopathic treatment of dermatitis, because of patient preference issues.",n,n,NA,NA,n, 
41,10335412,Individualized homeopathic remedy,CD4+ lymphocyte count,.19,SMD,.22, ,41,39,80,.849440256875079,78,2,20,y,1,9,n,n,n,y,Clinical trial,y,unclear,y,unclear,unclear,y,y,n,NA,n,y,1,2,4,n,y,11,1999,The British homoeopathic journal,0007-0785,NA,5,20,n,India,n,NA,NA,NA,n,n,NA,n,y,y,n,n,n,NA,10,1,4,1,11,0,.5,1,63,13,24,4,n,n,n,2,.08,0,0,0,0,1,0.5,0,0,2,1,2,1,2.198,1,0.5,2,1,2,1,0,0,Within-group error,"The study suggests a possible role of homeopathic treatment in HIV infection in symptomatic phase, as evidenced by a statistically significant elevation of base line immune status in persistent generalised lymphadenopathy.",n,y,y,Subgroup,y, 
42,15016577,Individualized homeopathic remedy,Multidimensional Fatigue Inventory,.68,SMD,.22, ,43,43,86,3.15303028846854,84,2,17,y,1,15,n,y,y,y,Clinical trial,y,y,y,y,y,y,y,y,patient,y,n,0,0,0,n,y,13,2004,Journal of psychosomatic research,0022-3999,1879-1360,8,36,n,UK,y,2.558,10.559,0.01026,y,y,NA,n,y,n,n,y,n,NA,11,35,6,10,1,16,.92,2.06,399,510,39,111,n,n,y,15,.79,0,0,8,.42,0,0,0,0,13,.87,12,0.8,5.064,9,0.6,11,0.73,8,0.89,1,0.08,Not adjusted for multiple testing,There is weak but equivocal evidence that the effects of homeopathic medicine are superior to placebo. Results also suggest that there may be nonspecific benefits from the homeopathic consultation. Further studies are needed to determine whether these differences hold in larger samples.,n,y,n,NA,y, 
